mass,energy,peak,ds
1.7e+30,2.0000000000000003e+43,0.13306406295691428,14.350000000000005
1.7e+30,2.5e+43,0.14213762363684013,13.850000000000001
1.7e+30,3e+43,0.1498459517895188,13.45
1.7e+30,3.5e+43,0.15656833134177725,13.150000000000002
1.7e+30,4e+43,0.16254354077292163,12.850000000000001
1.7e+30,4.5e+43,0.16792957926275973,12.550000000000002
1.7e+30,5e+43,0.17283623959301928,12.350000000000001
1.7e+30,5.500000000000001e+43,0.17735251097766797,12.250000000000002
1.7e+30,6.000000000000001e+43,0.18153457069397824,12.050000000000004
1.7e+30,6.500000000000002e+43,0.1854311849552679,11.950000000000003
1.7e+30,7.000000000000002e+43,0.1890817274152364,11.750000000000002
1.7e+30,7.500000000000003e+43,0.19251967834824477,11.650000000000002
1.7e+30,8.000000000000003e+43,0.19576267306301162,11.450000000000001
1.7e+30,8.500000000000004e+43,0.1988417905469525,11.450000000000001
1.7e+30,9.000000000000004e+43,0.20176722257435714,11.250000000000002
1.7e+30,9.500000000000004e+43,0.2045543992297498,11.150000000000002
1.72e+30,1e+43,0.10621895755647068,16.450000000000003
1.72e+30,1.5e+43,0.12064598918920837,15.250000000000007
1.72e+30,2.0000000000000003e+43,0.1316737367733188,14.550000000000008
1.72e+30,2.5e+43,0.14068422435562844,13.950000000000003
1.72e+30,3e+43,0.14834204901797055,13.55
1.72e+30,3.5e+43,0.15502189980599757,13.150000000000002
1.72e+30,4e+43,0.16095958829454055,12.850000000000001
1.72e+30,4.5e+43,0.1663136938718223,12.650000000000002
1.72e+30,5e+43,0.17119305561903508,12.450000000000003
1.72e+30,5.500000000000001e+43,0.17568304502050727,12.250000000000004
1.72e+30,6.000000000000001e+43,0.17984171830330684,12.050000000000002
1.72e+30,6.500000000000002e+43,0.1837177704288611,11.950000000000001
1.72e+30,7.000000000000002e+43,0.18734766927385157,11.850000000000003
1.72e+30,7.500000000000003e+43,0.1907674388665472,11.650000000000004
1.72e+30,8.000000000000003e+43,0.19399540281125727,11.650000000000004
1.72e+30,8.500000000000004e+43,0.1970582361918055,11.450000000000003
1.72e+30,9.000000000000004e+43,0.19996740069975058,11.350000000000003
1.72e+30,9.500000000000004e+43,0.20274060734140245,11.350000000000001
1.74e+30,1e+43,0.10504518156025425,16.550000000000004
1.74e+30,1.5e+43,0.11936105421299487,15.349999999999994
1.74e+30,2.0000000000000003e+43,0.13030947176834176,14.649999999999995
1.74e+30,2.5e+43,0.13925713641134718,13.95
